display_name,ea_wrks_cnt
Ethics,6
Wiley eBooks,1
Telos,1
Вестник Пермского университета Российская и зарубежная филология,1
Oncology Times,1
Ethics & bioethics,2
BMJ Leader,1
Mind,2
Frontiers in Psychology,1
Think,1
Journal of Moral Philosophy,2
Daímon,1
International Journal of Social Work Values and Ethics,2
Prague Economic Papers,2
Economics and Philosophy,1
Journal of Philanthropy and Marketing,1
The Philosophers Magazine,1
Open Book Publishers,1
Ethics Policy & Environment,1
Organizational Behavior and Human Decision Processes,1
South Eastern European Journal of Public Health,2
Ethics & Global Politics,1
Research Papers,1
Perspectives on Psychological Science,1
Sodality Jurnal Sosiologi Pedesaan,1
DOAJ (DOAJ: Directory of Open Access Journals),2
American Journal of Law and Equality,1
International journal of mechanical and production engineering research and development,1
Revista Latinoamericana de Estudios Críticos Animales,1
Trends in Cognitive Sciences,1
British Journal for the History of Philosophy,1
SSRN Electronic Journal,8
Nomos Verlagsgesellschaft mbH & Co. KG eBooks,12
F1000Research,2
Journal of Animal Ethics,1
Journal of Political Philosophy,1
WORLD SCIENTIFIC eBooks,1
Journal of Global Ethics,3
Social Theory and Practice,1
Teaching Ethics,1
Journal of Education Humanities and Social Sciences,1
History of European Ideas,1
Logos i Ethos,1
Global Policy,1
Erasmus Journal for Philosophy and Economics,1
University of Chicago Press eBooks,1
ETHICS IN PROGRESS,1
Peer Community In Registered Reports,1
Human Rights Quarterly,1
European Journal of Public Health,1
Population and Development Review,1
Journal of Political Economy,1
The Philosophical Quarterly,2
The International Encyclopedia of Ethics,1
Phytopathology,1
Inks,1
Scientific Works of the Free Economic Society of Russia,1
Ethics & International Affairs,1
ETHICS ECONOMICS LAW AND POLITICS – Online journal for interdisciplinary discussions on current societal issues,1
CrossCurrents,1
Oxford University Press eBooks,48
Constellations,1
Plant Disease,1
Bioethics,2
Routledge eBooks,3
Utilitas,6
Journal of Psychedelic Studies,1
Yale University Press eBooks,2
Polity,2
Revue d’études benthamiennes,1
Current Opinion in Psychology,1
Applied Economics,1
Transactions of the Charles S Peirce Society,1
Psychological Science,1
Analysis,1
Essays in Philosophy,1
Conatus,1
Media - Kultura - Komunikacja Społeczna,1
Asia-Pacific Journal of Regional Science,1
Journal of Practical Ethics,2
"Australian Humanist, The",1
RePEc: Research Papers in Economics,2
The Korean Association of General Education,1
Philosophical Perspectives,1
Palgrave Communications,1
Journal of Applied Philosophy,1
Advances in intelligent systems and computing,1
Isegoría,1
International Journal of New Economics and Social Sciences,1
Public Affairs Quarterly,5
The American Naturalist,1
Evolutionary ecology research,1
Japanese journal of agricultural economics,1
International Journal of Academic Research in Business and Social Sciences,1
arXiv (Cornell University),1
Postgraduate Medical Journal,2
Humanity,1
European Journal of Futures Research,1
Knowledge International Journal,1
First Monday,1
Policy Press eBooks,1
Kennedy Institute of Ethics journal,2
Postmodern Culture,1
Journal of Asia-Pacific Pop Culture,1
American Journal of Psychiatry,1
Third World Quarterly,1
International Journal of Theology Philosophy and Science,1
The Hastings Center Report,1
Filozofia,1
UNITAS,1
Proceedings of the American Catholic Philosophical Association,1
differences,1
Academy of Management Perspectives,1
Esprit,1
The Journal of Medicine and Philosophy A Forum for Bioethics and Philosophy of Medicine,1
Frontiers in Animal Science,1
